Player Id,Name,Position,Year,Team,Games Played,Games Started
stewbarber/2508985,Stew Barber,,1968,Buffalo Bills,14,--
stewbarber/2508985,Stew Barber,,1967,Buffalo Bills,14,--
stewbarber/2508985,Stew Barber,,1966,Buffalo Bills,14,--
stewbarber/2508985,Stew Barber,,1965,Buffalo Bills,14,--
stewbarber/2508985,Stew Barber,,1964,Buffalo Bills,14,--
stewbarber/2508985,Stew Barber,,1963,Buffalo Bills,14,--
stewbarber/2508985,Stew Barber,,1962,Buffalo Bills,14,--
stewbarber/2508985,Stew Barber,,1961,Buffalo Bills,14,--
dannugent/2522298,Dan Nugent,,1980,Washington Redskins,14,--
dannugent/2522298,Dan Nugent,,1978,Washington Redskins,16,--
dannugent/2522298,Dan Nugent,,1977,Washington Redskins,14,--
dannugent/2522298,Dan Nugent,,1976,Washington Redskins,14,--
jefffaine/2505657,Jeff Faine,,2012,Cincinnati Bengals,8,7
jefffaine/2505657,Jeff Faine,,2011,Tampa Bay Buccaneers,15,15
jefffaine/2505657,Jeff Faine,,2010,Tampa Bay Buccaneers,8,8
jefffaine/2505657,Jeff Faine,,2009,Tampa Bay Buccaneers,12,12
jefffaine/2505657,Jeff Faine,,2008,Tampa Bay Buccaneers,16,16
jefffaine/2505657,Jeff Faine,,2007,New Orleans Saints,14,14
jefffaine/2505657,Jeff Faine,,2006,New Orleans Saints,16,16
jefffaine/2505657,Jeff Faine,,2005,Cleveland Browns,14,14
jefffaine/2505657,Jeff Faine,,2004,Cleveland Browns,13,13
jefffaine/2505657,Jeff Faine,,2003,Cleveland Browns,9,9
lyonskilliher/2518436,Lyons Killiher,,1928,Chicago Cardinals,1,--
skippyscheib/2525016,Skippy Scheib,,1930,Brooklyn Dodgers,6,--
knutecaldwell/2510920,Knute Caldwell,,1926,Akron Indians,7,--
knutecaldwell/2510920,Knute Caldwell,,1925,Akron Indians,5,--
johnurschel/2543845,John Urschel,OG,2016,Baltimore Ravens,13,3
johnurschel/2543845,John Urschel,OG,2015,Baltimore Ravens,16,7
johnurschel/2543845,John Urschel,OG,2014,Baltimore Ravens,11,3
royfoster/2500690,Roy Foster,,1993,San Francisco 49ers,1,0
royfoster/2500690,Roy Foster,,1992,San Francisco 49ers,16,16
royfoster/2500690,Roy Foster,,1991,San Francisco 49ers,16,16
royfoster/2500690,Roy Foster,,1990,Miami Dolphins,16,--
royfoster/2500690,Roy Foster,,1989,Miami Dolphins,16,--
royfoster/2500690,Roy Foster,,1988,Miami Dolphins,15,--
royfoster/2500690,Roy Foster,,1987,Miami Dolphins,12,--
royfoster/2500690,Roy Foster,,1986,Miami Dolphins,16,--
royfoster/2500690,Roy Foster,,1985,Miami Dolphins,16,--
royfoster/2500690,Roy Foster,,1984,Miami Dolphins,16,--
royfoster/2500690,Roy Foster,,1983,Miami Dolphins,16,--
royfoster/2500690,Roy Foster,,1982,Miami Dolphins,9,--
tonycemore/2511306,Tony Cemore,,1941,Philadelphia Eagles,10,--
butchgibson/2514832,Butch Gibson,,1934,New York Giants,13,--
butchgibson/2514832,Butch Gibson,,1933,New York Giants,14,--
butchgibson/2514832,Butch Gibson,,1932,New York Giants,12,--
butchgibson/2514832,Butch Gibson,,1931,New York Giants,14,--
butchgibson/2514832,Butch Gibson,,1930,New York Giants,14,--
edreagen/2523812,Ed Reagen,,1926,Brooklyn Lions,1,--
gregjerman/2504887,Greg Jerman,,2005,Buffalo Bills,9,3
gregjerman/2504887,Greg Jerman,,2004,Miami Dolphins,1,0
